ASIN,Product Title,Amazon Buy Price,Source Buy Price,Source URL,Estimated Monthly Sales,BSR,Category,ROI (%),Profit ($),Number of Sellers,Hazmat,Gated,Brand Restricted,Keepa Stable,Notes
B07V36F4G9,"Crocs Unisex-Adult Classic Clogs (Best Sellers), Khaki, 4 Men/6 Women",$0.30,$0.76,https://www.amazon.com/dp/B07V36F4G9,N/A,N/A,Shoes,-459.30%,$-3.51,N/A,N/A,N/A,N/A,N,
B072Q63YF6,"Crocs Unisex-Adult Classic Clogs, Khaki, 12 Men/14 Women",$0.41,$0.69,https://www.amazon.com/dp/B072Q63YF6,N/A,N/A,Shoes,-484.54%,$-3.34,N/A,N/A,N/A,N/A,N,
B09773TW7Z,"Crocs Unisex Classic Clog Emerald Mens 7, Womens 9 Medium",$0.34,$0.49,https://www.amazon.com/dp/B09773TW7Z,N/A,N/A,Shoes,-654.11%,$-3.20,N/A,N/A,N/A,N/A,N,
B07TTJJ3Z6,"Crocs Unisex-Adult Classic Clogs, Bijou Blue, 8 Women/6 Men",N/A,$0.58,https://www.amazon.com/dp/B07TTJJ3Z6,N/A,N/A,Shoes,N/A,N/A,N/A,N/A,N/A,N/A,N,
B097746CQ2,"MedPride Powder-Free Nitrile Exam Gloves, Large, Large (Pack of 100)",$0.12,$0.10,https://www.amazon.com/dp/B097746CQ2,N/A,N/A,Drugstore,-3033.59%,$-2.99,N/A,N/A,N/A,N/A,N,
B09774JQQY,"Crocs Men's and Women's Classic Clog (Retired Colors), Lapis, 6 Women/4 Men",$0.50,$0.90,https://www.amazon.com/dp/B09774JQQY,N/A,N/A,Shoes,-386.28%,$-3.47,N/A,N/A,N/A,N/A,Y,
B0014C3W62,"Crocs Men's and Women's Classic Clog (Retired Colors), Grass Green, 8 Women/6 Men",$0.50,$0.50,https://www.amazon.com/dp/B0014C3W62,N/A,N/A,Shoes,-615.53%,$-3.07,N/A,N/A,N/A,N/A,N,
B0D9MVMVMH,"Crocs Unisex-Adult Classic Clogs, Digital Violet, 12 Men/14 Women",$0.33,$0.36,https://www.amazon.com/dp/B0D9MVMVMH,N/A,N/A,Shoes,-856.49%,$-3.08,N/A,N/A,N/A,N/A,N,
B088433DH4,"Crocs Men's and Women's Classic Clog (Retired Colors), Cantaloupe, 14 Women/12 Men",$0.33,$0.33,https://www.amazon.com/dp/B088433DH4,N/A,N/A,Shoes,-919.98%,$-3.05,N/A,N/A,N/A,N/A,N,
B088439F5K,"Crocs Men's and Women's Classic Clog (Retired Colors), Cantaloupe, 18 Women/16 Men",$0.50,$0.50,https://www.amazon.com/dp/B088439F5K,N/A,N/A,Shoes,-615.60%,$-3.07,N/A,N/A,N/A,N/A,N,
