ASIN,Product Title,Amazon Buy Price,Source Buy Price,Source URL,Estimated Monthly Sales,BSR,Category,ROI (%),Profit ($),Number of Sellers,Hazmat,Gated,Brand Restricted,Keepa Stable,Notes
B0CNJ6VRN4,"Crocs Classic Clog Stucco Men's 9, Women's 11 Medium",$0.50,$0.76,https://www.amazon.com/dp/B0CNJ6VRN4,100,1,Shoes,-437.04%,$-3.34,N/A,N/A,N/A,N/A,N,
B08RP9WRYT,"Pampers Baby Diapers - Swaddlers - Size 3, 26 Count, Ultra Absorbent Disposable Infant Diaper",$0.10,$0.10,https://www.amazon.com/dp/B08RP9WRYT,100,1,Drugstore,-3024.03%,$-3.01,N/A,N/A,N/A,N/A,Y,
B09NM9YNPH,"Crocs Unisex-Adult Classic Clogs, Taffy Pink, 11 Men/13 Women",$0.50,$0.50,https://www.amazon.com/dp/B09NM9YNPH,100,1,Shoes,-616.05%,$-3.07,N/A,N/A,N/A,N/A,Y,
B08KHL6C3T,"Crocs Classic Clog Turquoise Tonic Men's 3, Women's 5 Medium",$0.40,$0.49,https://www.amazon.com/dp/B08KHL6C3T,100,1,Shoes,-643.45%,$-3.15,N/A,N/A,N/A,N/A,N,
B07V36F4G9,"Crocs Unisex-Adult Classic Clogs, Orange Zing, 5 Men/7 Women",$0.50,$0.39,https://www.amazon.com/dp/B07V36F4G9,100,1,Shoes,-760.45%,$-2.96,N/A,N/A,N/A,N/A,N,
B072Q63YF6,"Crocs Unisex-Adult Classic Clogs, Orange Zing, 7 Men/9 Women",$0.50,$0.47,https://www.amazon.com/dp/B072Q63YF6,100,1,Shoes,-647.89%,$-3.05,N/A,N/A,N/A,N/A,N,
B0D61HM1D4,"Crocs Unisex Classic Clog Evergreen Men's 14, Women's 16 Medium",$0.50,$0.47,https://www.amazon.com/dp/B0D61HM1D4,100,1,Shoes,-647.89%,$-3.05,N/A,N/A,N/A,N/A,N,
B088439F5K,"Crocs Unisex-Adult Classic Clogs, Oxygen, 13 Men/15 Women",N/A,$0.47,https://www.amazon.com/dp/B088439F5K,100,1,Shoes,N/A,N/A,N/A,N/A,N/A,N/A,N,
B097746CQ2,"Crocs Unisex-Adult Classic Clog, Clogs for Women and Men, Bone, 6 Men/8 Women",$0.30,$0.43,https://www.amazon.com/dp/B097746CQ2,100,1,Shoes,-741.56%,$-3.17,N/A,N/A,N/A,N/A,N,
B0BPLYHDPG,Crocs Unisex Classic Clogs Bone 15,$0.50,$0.40,https://www.amazon.com/dp/B0BPLYHDPG,100,1,Shoes,-744.09%,$-2.97,N/A,N/A,N/A,N/A,N,
B0B4SBSJVP,"Crocs Unisex-Adult Classic Clog, Clogs for Women and Men, Bone, 5 Men/7 Women",$0.50,$0.43,https://www.amazon.com/dp/B0B4SBSJVP,100,1,Shoes,-702.86%,$-3.00,N/A,N/A,N/A,N/A,N,
B0BF8Y58FG,"Crocs Classic Clog Limeade Men's 17, Women's 19 Medium",$0.50,$0.40,https://www.amazon.com/dp/B0BF8Y58FG,100,1,Shoes,-745.38%,$-2.97,N/A,N/A,N/A,N/A,N,
